Player ID:,1243694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Logan Snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Release Extension (ft),Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle
1,Fri Sep 06 2024 4:02:13 PM,1725638533,TwoSeamFastball,N,-15.78,39.63,86.35,2325.3,2321.8,99.8,2:22,1,12.2,19.1,-,-,8,25.2,-7.33,0.45,5.02,3.83,2.038591385,3.17,1243694@1725638533,V3P4DB1N1735A,1,-7.482605457,4.893505096,0.5,0,0.850901544,0.063041233,-0.5215289,-0.071686305,0.997420728,0.003606021,0.520411015,0.034318112,0.853226066,-3.661442041,-4.490311146
2,Fri Sep 06 2024 4:02:25 PM,1725638545,TwoSeamFastball,Y,-0.7,29.57,85.06,2304.7,2304.5,100,2:22,1,11.1,24,-,-,8.3,25.6,-6.46,-0.13,4.85,3.89,2.003059387,0.79,1243694@1725638545,V3P4DB1N1735A,1,0.780668378,11.32916641,1,0,0.789808214,0.022993939,-0.612922668,0.016784037,0.998112559,0.059072226,0.613124192,-0.056943048,0.787931621,-1.895541787,-5.315096378
3,Fri Sep 06 2024 4:02:37 PM,1725638557,TwoSeamFastball,Y,3.02,27.99,84.37,2172.5,2168.9,99.8,2:32,1,8.9,19.6,-,-,5.5,24.9,-5.69,0.19,4.66,3.79,2.208314896,-3.3,1243694@1725638557,V3P4DB1N1735A,1,-0.646212995,76.47874451,1,0,-0.308524698,-0.04975111,-0.949914217,0.002215376,0.998590946,-0.053020056,0.951213598,-0.018462423,-0.307979792,-1.855775595,-5.701807499
4,Fri Sep 06 2024 4:02:49 PM,1725638569,TwoSeamFastball,Y,-1.41,38.48,84.97,2251.7,2251.4,100,2:28,1,7.7,17.6,-,-,6.5,25.7,-5.8,1.03,4.89,3.76,1.997104645,-0.99,1243694@1725638569,V3P4DB1N1735A,1,-7.797522545,86.54515076,1,0,-0.414331198,-0.09028741,-0.905636489,-0.275893241,0.960706055,0.030444406,0.867301702,0.262473077,-0.422960162,-2.414369106,-5.051014423
5,Fri Sep 06 2024 4:03:09 PM,1725638589,Cutter,N,-12.16,25.77,80.37,1952.2,1188.7,60.9,1:40,1,14.7,0.1,-,-,8.9,11.1,-5.05,-0.27,4.71,3.6,2.03603363,52.49,1243694@1725638589,V3P4DB1N1735A,1,-2.044548035,130.5874176,1,0,0.109808102,0.292154312,-0.950046182,-0.963077307,-0.20511049,-0.174388885,-0.245813072,0.934117317,0.258844584,-5.018368721,-5.570996761
6,Fri Sep 06 2024 4:03:20 PM,1725638600,Cutter,N,13.79,44.39,78.78,2037.6,1727.2,94.3,3:10,1,18.2,2.5,-,-,19.5,-2.2,-3.18,1.26,4.63,3.75,-,48.3,1243694@1725638600,V3P4DB1N1735A,1,0.354533821,140.3696899,1,0,0.697085142,0.552440166,-0.457036287,-0.670520186,0.27654779,-0.688421369,-0.253919244,0.786340356,0.563199639,-2.660366297,-3.728075027
7,Fri Sep 06 2024 4:03:33 PM,1725638613,Slider,N,-11.32,25.42,75.09,2400,608.4,25.4,11:58,0.5,15.6,-6.6,-,-,6.2,-1,-4.8,0.55,4.51,4,2.056919098,75.31,1243694@1725638613,V3P4DB1N1735A,0.5,-37.3739624,76.76447296,1,0,0.725866258,0.687569678,-0.019134264,-0.679386675,0.721019387,0.136252686,0.107479393,-0.085901663,0.990489304,-6.087679386,-6.193303108
8,Fri Sep 06 2024 4:03:45 PM,1725638625,Slider,N,-12.6,33.05,74.94,2297.9,390.6,17,10:42,1,12.8,-6.1,-,-,2.8,-3.9,-4.87,1.48,4.44,3.91,2.095527649,80.21,1243694@1725638625,V3P4DB1N1735A,1,-33.89728165,128.6213684,1,0,0.803200364,0.563828826,-0.192266181,-0.579596877,0.665098011,-0.470863104,-0.137610331,0.489634305,0.861000419,-6.043296814,-5.541210175
9,Fri Sep 06 2024 4:04:07 PM,1725638647,ChangeUp,N,-3.38,17.58,78.33,2203.4,2148.1,97.5,2:40,1,8.2,19.2,-,-,4,25.7,-6.36,0.06,4.56,3.97,2.018211365,-12.87,1243694@1725638647,V3P4DB1N1735A,1,24.58485222,48.93527222,1,0,0.233722523,-0.206376716,-0.950148642,0.527004957,0.848107934,-0.054577559,0.817092121,-0.487977028,0.306983501,-2.663645029,-7.224667549
10,Fri Sep 06 2024 4:04:20 PM,1725638660,ChangeUp,N,13.09,15.64,76.94,2185.8,2185.5,100,2:40,0.5,7,15.9,-,-,3.2,22.6,-4.61,-0.03,4.43,3.86,-,-0.96,1243694@1725638660,V3P4DB1N1735A,0.5,18.62289047,60.30463791,1,0,-0.025777403,0.076436669,-0.996741176,0.459475338,0.886417508,0.056093495,0.88781637,-0.456532031,-0.057970297,-1.434555531,-7.461247921
